[rl_rollout_step_0159] images_hit=118 images_miss=0 methods={'existing_file': 46, 'formula_ground_truth_unique': 33, 'filtered_parquet_triple_lookup': 38, 'formula_ground_truth_first_match': 1}
[rl_rollout_step_0160] images_hit=135 images_miss=0 methods={'filtered_parquet_triple_lookup': 89, 'formula_ground_truth_unique': 46}
[rl_rollout_step_0161] images_hit=131 images_miss=0 methods={'filtered_parquet_triple_lookup': 79, 'formula_ground_truth_unique': 47, 'formula_ground_truth_first_match': 5}
[rl_rollout_step_0162] images_hit=132 images_miss=0 methods={'filtered_parquet_triple_lookup': 77, 'formula_ground_truth_first_match': 5, 'formula_ground_truth_unique': 50}
[rl_rollout_step_0163] images_hit=120 images_miss=0 methods={'filtered_parquet_triple_lookup': 69, 'formula_ground_truth_first_match': 7, 'formula_ground_truth_unique': 44}
[rl_rollout_step_0164] images_hit=129 images_miss=0 methods={'filtered_parquet_triple_lookup': 77, 'formula_ground_truth_first_match': 4, 'formula_ground_truth_unique': 48}
[rl_rollout_step_0165] images_hit=129 images_miss=0 methods={'filtered_parquet_triple_lookup': 81, 'formula_ground_truth_unique': 48}
[rl_rollout_step_0166] images_hit=135 images_miss=0 methods={'filtered_parquet_triple_lookup': 79, 'formula_ground_truth_unique': 51, 'formula_ground_truth_first_match': 5}
[rl_rollout_step_0167] images_hit=127 images_miss=0 methods={'filtered_parquet_triple_lookup': 69, 'formula_ground_truth_unique': 55, 'formula_ground_truth_first_match': 3}
[rl_rollout_step_0168] images_hit=127 images_miss=0 methods={'filtered_parquet_triple_lookup': 77, 'formula_ground_truth_unique': 49, 'formula_ground_truth_first_match': 1}
[rl_rollout_step_0169] images_hit=133 images_miss=0 methods={'filtered_parquet_triple_lookup': 83, 'formula_ground_truth_unique': 49, 'formula_ground_truth_first_match': 1}
[rl_rollout_step_0170] images_hit=129 images_miss=0 methods={'filtered_parquet_triple_lookup': 82, 'formula_ground_truth_unique': 45, 'formula_ground_truth_first_match': 2}
[rl_rollout_step_0171] images_hit=126 images_miss=0 methods={'filtered_parquet_triple_lookup': 79, 'formula_ground_truth_unique': 47}
[rl_rollout_step_0172] images_hit=116 images_miss=0 methods={'filtered_parquet_triple_lookup': 66, 'formula_ground_truth_first_match': 2, 'formula_ground_truth_unique': 48}
[rl_rollout_step_0173] images_hit=119 images_miss=0 methods={'filtered_parquet_triple_lookup': 78, 'formula_ground_truth_first_match': 2, 'formula_ground_truth_unique': 39}
[rl_rollout_step_0174] images_hit=128 images_miss=0 methods={'filtered_parquet_triple_lookup': 74, 'formula_ground_truth_unique': 53, 'formula_ground_truth_first_match': 1}
[rl_rollout_step_0175] images_hit=117 images_miss=0 methods={'filtered_parquet_triple_lookup': 69, 'formula_ground_truth_unique': 46, 'formula_ground_truth_first_match': 2}
[rl_rollout_step_0176] images_hit=113 images_miss=0 methods={'filtered_parquet_triple_lookup': 71, 'formula_ground_truth_first_match': 3, 'formula_ground_truth_unique': 39}
[rl_rollout_step_0177] images_hit=125 images_miss=0 methods={'filtered_parquet_triple_lookup': 72, 'formula_ground_truth_unique': 50, 'formula_ground_truth_first_match': 3}
